,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
0,RB50392,washington,U,master,588174.235,0.0,1000.0,0.0,Personal Auto,Four-Door Car,2.704934
1,QZ44356,arizona,F,bachelors,697953.59,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
2,AI49188,nevada,F,bachelors,1288743.17,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
3,WW63253,california,M,bachelors,764586.18,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
4,GA49547,washington,M,high school or below,536307.65,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
5,OC83172,oregon,F,bachelors,825629.78,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
6,XZ87318,oregon,F,college,538089.86,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
7,CF85061,arizona,M,master,721610.03,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
8,DY87989,oregon,M,bachelors,2412750.4,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
9,BQ94931,oregon,F,college,738817.81,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
10,SX51350,california,M,college,473899.2,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
11,VQ65197,california,U,college,819719.71,0.0,110.0,0.0,Personal Auto,SUV,528.0
12,DP39365,california,U,master,879879.7,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
13,SJ95423,arizona,U,high school or below,881901.89,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
14,IL66569,california,U,college,538443.17,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
15,BW63560,oregon,U,bachelors,746313.94,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
16,FV94802,nevada,U,high school or below,256686.78,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
17,OE15005,california,U,college,394524.16,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
18,WC83389,oregon,U,college,571033.31,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
19,FL50705,california,U,high school or below,816261.71,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
20,ZK25313,oregon,U,high school or below,287205.13,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
21,QK46697,washington,M,bachelors,617710.93,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
22,YH23384,arizona,U,bachelors,2412750.4,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
23,TZ98966,nevada,U,bachelors,245019.1,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
24,HM55802,california,U,bachelors,239210.79,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
25,FS42516,oregon,U,college,580206.6,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
26,US89481,california,U,bachelors,394637.21,0.0,111.0,0.0,Personal Auto,Four-Door Car,799.2
27,HS14476,washington,M,college,916206.32,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
28,GE62437,arizona,U,college,1290256.01,86584.0,111.0,2.0,Personal Auto,Four-Door Car,532.8
29,EJ77678,oregon,U,master,323536.05,75690.0,80.0,1.0,Personal Auto,Four-Door Car,384.0
30,SV85652,arizona,U,college,245458.35,23158.0,63.0,1.0,Personal Auto,Four-Door Car,322.294043
31,UL64533,nevada,U,high school or below,1897545.61,65999.0,237.0,0.0,Corporate Auto,Luxury,615.927769
32,PF41800,california,U,bachelors,471532.13,0.0,65.0,0.0,Personal Auto,Four-Door Car,308.15089
33,HD95276,washington,F,college,473787.17,0.0,130.0,0.0,Personal Auto,SUV,23.820158
34,SK67821,oregon,U,bachelors,493291.63,37260.0,62.0,0.0,Corporate Auto,Four-Door Car,15.437681
35,YV55495,arizona,U,high school or below,574422.97,68987.0,71.0,0.0,Personal Auto,Four-Door Car,204.475147
36,KY38074,california,U,bachelors,1389173.57,42305.0,117.0,0.0,Personal Auto,Four-Door Car,561.6
37,DM79012,oregon,U,master,738097.67,65706.0,91.0,0.0,Personal Auto,Four-Door Car,436.8
38,CM61827,oregon,U,bachelors,309003.41,0.0,90.0,0.0,Personal Auto,Two-Door Car,648.0
39,WC35801,arizona,U,high school or below,252163.31,53243.0,66.0,2.0,Personal Auto,Four-Door Car,157.397849
40,QG25316,nevada,U,high school or below,265206.18,0.0,70.0,1.0,Corporate Auto,Two-Door Car,484.318536
41,MB98372,oregon,U,college,277104.5,50071.0,71.0,0.0,Corporate Auto,Two-Door Car,18.918935
42,IL19217,california,U,bachelors,393900.64,60021.0,99.0,0.0,Personal Auto,Four-Door Car,882.871945
43,SR38658,arizona,U,high school or below,1223187.97,43244.0,103.0,0.0,Personal Auto,Luxury,494.4
44,YD87931,washington,M,doctor,495165.61,46896.0,35354.0,1.0,Personal Auto,Four-Door Car,31.707317
45,HG65722,oregon,U,doctor,1281910.29,10105.0,172.0,3.0,Personal Auto,SUV,0.517753
46,BU27331,arizona,U,bachelors,446851.05,0.0,73.0,3.0,Personal Auto,Four-Door Car,579.165954
47,XM45289,oregon,U,high school or below,551434.4,23218.0,71.0,0.0,Personal Auto,Two-Door Car,447.79344
48,KP34198,california,U,bachelors,334387.53,0.0,92.0,0.0,Corporate Auto,Four-Door Car,529.624084
49,SH90947,arizona,U,high school or below,229447.89,0.0,62.0,0.0,Personal Auto,Four-Door Car,313.023175
50,WE95729,oregon,U,college,3670742.64,24804.0,104.0,0.0,Personal Auto,SUV,593.830288
51,PY51963,california,U,bachelors,3347334.95,33190.0,106.0,0.0,Corporate Auto,SUV,508.8
52,RB69909,nevada,U,high school or below,798343.17,36014.0,69.0,3.0,Special Auto,Four-Door Car,173.956072
53,NW21079,washington,F,master,487938.48,67163.0,61.0,2.0,Personal Auto,Two-Door Car,33.192803
54,FR46645,california,U,bachelors,429399.73,16701.0,113.0,0.0,Personal Auto,Four-Door Car,831.625979
55,SY17488,arizona,U,college,716439.55,46623.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
56,AP67935,california,U,college,761951.58,64749.0,64.0,0.0,Special Auto,Four-Door Car,302.56519
57,FS37417,arizona,U,high school or below,395800.28,0.0,101.0,0.0,Personal Auto,SUV,484.8
58,ML29312,oregon,U,high school or below,449949.33,16969.0,124.0,2.0,Personal Auto,SUV,704.768111
59,UB61619,oregon,U,master,405956.74,11621.0,108.0,0.0,Personal Auto,Four-Door Car,518.4
60,CD86811,arizona,U,bachelors,445811.34,17622.0,65.0,1.0,Personal Auto,Four-Door Car,312.0
61,RU83859,california,U,bachelors,811033.31,11489.0,105.0,0.0,Personal Auto,Two-Door Car,504.0
62,FG63582,oregon,U,bachelors,333976.49,0.0,94.0,0.0,Personal Auto,Two-Door Car,863.327324
63,NN71951,california,U,high school or below,2426101.78,66525.0,100.0,0.0,Personal Auto,SUV,104.331355
64,WB37082,arizona,U,bachelors,661397.37,0.0,63.0,0.0,Personal Auto,Four-Door Car,676.391482
65,SM52139,washington,U,college,293069.35,33663.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
66,FL82372,oregon,U,college,867219.43,22547.0,112.0,0.0,Corporate Auto,SUV,537.6
67,DP45816,arizona,U,high school or below,1163866.93,61486.0,97.0,0.0,Personal Auto,Two-Door Car,465.258644
68,GW33762,oregon,U,bachelors,684615.03,0.0,95.0,0.0,Personal Auto,Two-Door Car,456.0
69,RZ33670,california,U,college,1172777.65,29879.0,102.0,0.0,Personal Auto,Four-Door Car,500.254235
70,PY70169,oregon,U,high school or below,2264383.48,93011.0,113.0,0.0,Personal Auto,SUV,281.451042
71,MO91628,oregon,U,master,261447.43,65186.0,65.0,0.0,Personal Auto,Two-Door Car,5.434505
72,HW87852,oregon,U,master,245175.27,26840.0,64.0,2.0,Personal Auto,Four-Door Car,307.2
73,HB20453,oregon,U,bachelors,678127.02,0.0,104.0,1.0,Personal Auto,Luxury,982.399613
74,BN87372,oregon,U,bachelors,497480.15,75644.0,65.0,3.0,Personal Auto,Two-Door Car,467.803638
75,YX23800,oregon,U,bachelors,859160.49,38984.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
76,DZ87709,oregon,U,high school or below,559216.14,71811.0,71.0,0.0,Personal Auto,Four-Door Car,29.03416
77,XW13033,nevada,U,college,800947.28,20961.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
78,SP81997,washington,F,master,588174.235,41275.0,96.0,0.0,Personal Auto,Four-Door Car,41.122303
79,OM82309,california,U,bachelors,5816655.35,61321.0,186.0,1.0,Personal Auto,Luxury,427.63121
80,ZU35962,california,U,college,802522.94,0.0,77.0,0.0,Personal Auto,Two-Door Car,25.807685
81,VH85817,california,U,high school or below,578018.22,51066.0,74.0,0.0,Personal Auto,Four-Door Car,787.993313
82,DT85712,california,U,doctor,411853.91,34378.0,102.0,0.0,Personal Auto,SUV,489.6
83,YJ88573,nevada,U,master,252307.02,43072.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
84,SQ19467,oregon,U,college,655421.64,25222.0,90.0,0.0,Personal Auto,Four-Door Car,475.623251
85,YB66933,washington,F,bachelors,538275.2,77552.0,68.0,1.0,Corporate Auto,Four-Door Car,45.215059
86,ET79815,california,U,college,592672.94,23091.0,96.0,5.0,Personal Auto,Four-Door Car,460.8
87,QC35222,california,U,bachelors,268347.07,48269.0,69.0,3.0,Corporate Auto,Four-Door Car,282.151207
88,CJ15590,oregon,U,bachelors,269518.24,32720.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
89,OI48267,california,U,college,604702.52,20396.0,76.0,1.0,Personal Auto,Four-Door Car,364.8
90,JY67916,oregon,U,college,1317101.28,21513.0,119.0,1.0,Personal Auto,Two-Door Car,679.827592
91,OW15518,washington,F,college,1595001.95,0.0,87.0,1.0,Personal Auto,Two-Door Car,46.041452
92,CZ33664,oregon,U,bachelors,252765.38,80744.0,63.0,0.0,Corporate Auto,Four-Door Car,11.879037
93,WK30175,oregon,U,bachelors,267209.58,52822.0,67.0,0.0,Corporate Auto,Two-Door Car,350.529033
94,ON44465,california,U,high school or below,531329.4,0.0,77.0,1.0,Personal Auto,Four-Door Car,863.3947
95,TV87155,oregon,U,bachelors,2094619.25,69738.0,74.0,1.0,Personal Auto,Four-Door Car,492.127532
96,KH48895,arizona,U,master,837535.39,17780.0,109.0,0.0,Personal Auto,SUV,132.588288
97,NZ30757,california,U,bachelors,480166.15,18107.0,62.0,0.0,Personal Auto,Four-Door Car,297.6
98,RI22468,arizona,U,bachelors,574594.33,57740.0,74.0,3.0,Personal Auto,Four-Door Car,269.905129
99,FZ30935,oregon,U,college,606611.6,32627.0,76.0,0.0,Personal Auto,Two-Door Car,380.036697
100,UG93476,california,U,college,800230.83,0.0,107.0,0.0,Personal Auto,SUV,513.6
101,AB96670,california,U,college,239391.54,0.0,70.0,0.0,Personal Auto,Four-Door Car,425.266308
102,XK64261,oregon,U,bachelors,476281.79,65795.0,62.0,1.0,Corporate Auto,Two-Door Car,49.011099
103,EV68375,california,U,college,433038.6,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
104,UN51653,california,U,high school or below,940272.98,0.0,130.0,0.0,Personal Auto,SUV,936.0
105,TO96662,oregon,U,bachelors,696669.45,41837.0,88.0,0.0,Personal Auto,Four-Door Car,142.062768
106,MR52087,california,U,bachelors,769406.43,32303.0,65.0,0.0,Personal Auto,Four-Door Car,45.152521
107,DE75225,oregon,U,high school or below,871756.11,0.0,117.0,1.0,Personal Auto,SUV,561.6
108,EP80820,california,U,bachelors,592874.85,40531.0,74.0,0.0,Personal Auto,Two-Door Car,30.567357
109,GU99037,oregon,U,college,245297.73,79898.0,62.0,1.0,Corporate Auto,Four-Door Car,271.606799
110,WI57118,california,U,college,670157.17,56398.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
111,GP39118,washington,M,high school or below,499655.27,71600.0,63.0,0.0,Personal Auto,Two-Door Car,46.158117
112,MQ14219,arizona,U,college,849269.88,27804.0,109.0,0.0,Personal Auto,SUV,784.8
113,KN20603,oregon,U,bachelors,771349.4,45506.0,66.0,2.0,Personal Auto,Four-Door Car,316.8
114,SG20925,washington,F,master,518579.76,99428.0,6464.0,1.0,Personal Auto,Four-Door Car,48.046869
115,JI70886,california,U,high school or below,729006.98,0.0,102.0,1.0,Corporate Auto,SUV,489.6
116,VF72557,oregon,U,high school or below,477294.38,20993.0,133.0,0.0,Personal Auto,SUV,638.4
117,OX28638,arizona,U,high school or below,680649.14,37839.0,86.0,0.0,Personal Auto,Two-Door Car,465.633954
118,SK55033,california,U,bachelors,246978.13,92711.0,62.0,0.0,Personal Auto,Two-Door Car,368.400146
119,OO88645,california,U,college,310392.3,74665.0,78.0,2.0,Corporate Auto,Four-Door Car,236.902001
120,FM14335,washington,F,college,1048491.54,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117
121,CW82151,california,U,bachelors,890273.76,46833.0,112.0,0.0,Personal Auto,Luxury,64.109663
122,DY22043,oregon,U,high school or below,549944.72,88768.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
123,SH36774,california,U,high school or below,1502359.86,28262.0,192.0,0.0,Personal Auto,Luxury,921.6
124,EM43724,nevada,U,bachelors,250910.79,33555.0,63.0,0.0,Personal Auto,Four-Door Car,101.89645
125,FH85960,oregon,U,college,3122174.81,42780.0,113.0,1.0,Personal Auto,Four-Door Car,542.4
126,XA55993,oregon,U,master,313350.34,58850.0,78.0,0.0,Personal Auto,Four-Door Car,143.747794
